OBJECTID,RELI,E_KOORD,E_ZENTER,N_KOORD,N_ZENTER,B20BM14,B20BM15,B20BM16,B20BM17,B20BM18,B20BM19,M_TOT,B20BW14,B20BW15,B20BW16,B20BW17,B20BW18,B20BW19,W_TOT,TOT
184,68142509,2681400,2681450,1250900,1250950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,68142474,2681400,2681450,1247400,1247450,0,3,0,3,3,0,9,3,3,0,3,3,0,12,21
186,68152483,2681500,2681550,1248300,1248350,3,3,3,3,0,0,12,3,0,3,3,0,0,9,21
187,68152472,2681500,2681550,1247200,1247250,3,0,3,0,3,0,9,3,5,3,3,0,3,17,26
188,68152434,2681500,2681550,1243400,1243450,3,3,0,3,3,0,12,3,3,3,3,3,0,15,27
189,68162473,2681600,2681650,1247300,1247350,4,3,3,0,0,0,10,3,3,0,0,0,3,9,19
190,68162501,2681600,2681650,1250100,1250150,0,0,0,0,0,0,0,3,3,3,3,3,0,15,15
191,68162500,2681600,2681650,1250000,1250050,3,3,0,3,0,0,9,0,3,3,0,0,0,6,15
192,68162488,2681600,2681650,1248800,1248850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,68172469,2681700,2681750,1246900,1246950,3,5,5,3,4,0,20,3,3,3,3,3,0,15,35
194,68172437,2681700,2681750,1243700,1243750,3,0,0,0,0,0,3,3,3,3,3,3,3,18,21
195,68182468,2681800,2681850,1246800,1246850,6,3,0,3,3,0,15,4,3,3,3,3,0,16,31
196,68182476,2681800,2681850,1247600,1247650,3,0,0,3,3,0,9,0,0,3,0,0,0,3,12
197,68182473,2681800,2681850,1247300,1247350,3,3,0,0,0,0,6,3,3,0,0,3,0,9,15
198,68192490,2681900,2681950,1249000,1249050,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3
199,68192503,2681900,2681950,1250300,1250350,3,3,0,0,0,0,6,3,0,0,0,0,0,3,9
200,68192435,2681900,2681950,1243500,1243550,0,0,0,3,0,0,3,0,0,0,3,0,0,3,6
201,68202502,2682000,2682050,1250200,1250250,0,3,0,0,0,0,3,0,0,3,0,0,0,3,6
202,68202474,2682000,2682050,1247400,1247450,6,3,3,0,0,0,12,3,3,0,3,0,0,9,21
203,68202476,2682000,2682050,1247600,1247650,0,3,0,3,0,0,6,0,0,3,3,0,0,6,12
204,68202498,2682000,2682050,1249800,1249850,3,0,0,3,0,0,6,0,3,3,0,0,3,9,15
205,68202489,2682000,2682050,1248900,1248950,4,4,3,3,3,0,17,3,3,3,3,3,3,18,35
206,68202439,2682000,2682050,1243900,1243950,3,3,0,0,0,0,6,3,3,0,3,0,0,9,15
207,68202433,2682000,2682050,1243300,1243350,3,0,3,0,0,0,6,0,0,3,0,0,0,3,9
208,68212436,2682100,2682150,1243600,1243650,0,3,3,3,0,0,9,3,3,3,3,0,0,12,21
209,68212489,2682100,2682150,1248900,1248950,6,3,4,0,0,0,13,4,4,3,3,3,0,17,30
210,68212517,2682100,2682150,1251700,1251750,3,3,0,0,0,0,6,3,0,0,3,3,0,9,15
211,68222517,2682200,2682250,1251700,1251750,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
212,68222487,2682200,2682250,1248700,1248750,6,3,4,3,0,0,16,6,6,3,3,0,0,18,34
213,68222495,2682200,2682250,1249500,1249550,3,3,5,0,0,3,14,6,5,4,3,0,0,18,32
214,68222492,2682200,2682250,1249200,1249250,0,3,0,0,0,0,3,3,0,0,0,0,0,3,6
215,68222450,2682200,2682250,1245000,1245050,3,3,3,0,0,0,9,0,3,3,0,3,0,9,18
216,68222446,2682200,2682250,1244600,1244650,3,0,0,0,0,0,3,3,0,0,0,0,0,3,6
217,68232445,2682300,2682350,1244500,1244550,3,0,3,0,0,3,9,3,3,0,0,0,0,6,15
218,68232487,2682300,2682350,1248700,1248750,5,4,0,0,3,0,12,3,0,3,0,3,0,9,21
219,68232433,2682300,2682350,1243300,1243350,5,3,0,3,3,3,17,4,6,3,3,5,3,24,41
220,68232518,2682300,2682350,1251800,1251850,3,6,4,4,0,0,17,8,5,4,3,3,3,26,43
221,68232499,2682300,2682350,1249900,1249950,3,4,4,3,3,0,17,4,6,4,3,3,0,20,37
222,68232429,2682300,2682350,1242900,1242950,3,0,3,0,0,0,6,3,3,0,0,0,0,6,12
223,68232453,2682300,2682350,1245300,1245350,3,3,0,3,3,3,15,3,3,3,3,3,3,18,33
224,68232460,2682300,2682350,1246000,1246050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,68232521,2682300,2682350,1252100,1252150,0,3,4,3,0,0,10,0,3,6,3,3,3,18,28
226,68232464,2682300,2682350,1246400,1246450,0,3,3,0,0,0,6,0,3,3,0,0,0,6,12
227,68232466,2682300,2682350,1246600,1246650,0,3,0,3,0,0,6,0,0,3,0,0,0,3,9
228,68242464,2682400,2682450,1246400,1246450,3,3,3,3,3,5,20,3,3,3,4,15,16,44,64
229,68242448,2682400,2682450,1244800,1244850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,68242496,2682400,2682450,1249600,1249650,4,6,3,3,3,0,19,4,3,0,3,3,0,13,32
231,68242478,2682400,2682450,1247800,1247850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,68242469,2682400,2682450,1246900,1246950,0,0,3,0,0,0,3,3,0,3,0,0,0,6,9
233,68252454,2682500,2682550,1245400,1245450,3,0,3,0,0,0,6,3,3,0,0,0,0,6,12
234,68252481,2682500,2682550,1248100,1248150,3,3,3,0,0,0,9,3,3,3,3,0,0,12,21
235,68252448,2682500,2682550,1244800,1244850,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
236,68262498,2682600,2682650,1249800,1249850,3,3,0,0,0,0,6,3,3,3,0,3,0,12,18
237,68262471,2682600,2682650,1247100,1247150,5,5,7,3,3,0,23,4,3,3,3,3,3,19,42
238,68262435,2682600,2682650,1243500,1243550,3,3,3,0,0,0,9,5,4,3,3,0,5,20,29
239,68262515,2682600,2682650,1251500,1251550,3,4,3,3,3,0,16,6,3,3,0,0,3,15,31
240,68262495,2682600,2682650,1249500,1249550,3,3,3,0,0,0,9,3,3,3,3,3,0,15,24
241,68262444,2682600,2682650,1244400,1244450,0,3,3,3,0,0,9,3,3,3,3,3,0,15,24
242,68272485,2682700,2682750,1248500,1248550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,68272433,2682700,2682750,1243300,1243350,3,0,0,3,0,0,6,4,3,3,3,0,0,13,19
244,68272501,2682700,2682750,1250100,1250150,3,3,3,3,0,0,12,6,4,3,3,3,3,22,34
245,68272468,2682700,2682750,1246800,1246850,3,3,0,0,0,0,6,3,3,3,0,0,0,9,15
246,68272444,2682700,2682750,1244400,1244450,0,3,0,0,3,0,6,0,3,0,3,3,0,9,15
247,68282534,2682800,2682850,1253400,1253450,3,0,0,0,0,0,3,3,3,0,0,0,0,6,9
248,68282483,2682800,2682850,1248300,1248350,3,3,3,0,3,0,12,3,3,0,3,0,0,9,21
249,68282521,2682800,2682850,1252100,1252150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,68282476,2682800,2682850,1247600,1247650,3,0,0,0,0,0,3,0,0,3,0,0,0,3,6
251,68292502,2682900,2682950,1250200,1250250,4,4,4,3,3,3,21,3,3,3,3,3,3,18,39
252,68292484,2682900,2682950,1248400,1248450,0,0,3,3,0,0,6,3,0,3,0,0,0,6,12
253,68292536,2682900,2682950,1253600,1253650,0,3,3,3,0,0,9,3,0,3,0,0,0,6,15
254,68302429,2683000,2683050,1242900,1242950,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3
